mileage,dealer,location,price,make,website
"384,374 mi",Doggett Freightliner,"Pharr, TX","$89,900",2020 Peterbilt 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2020/ee-listing-42164781
"432,787 mi",Diamond Truck Sales Inc,"Fort Worth, TX","$68,900",2018 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42153542
"504,830 mi",Diamond Truck Sales Inc,"Turlock, CA","$49,900",2018 INTERNATIONAL LT,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2018/ee-listing-42170518
"33,979 mi",Bruckner Truck Sales,"Lubbock, TX","$299,000",2015 KENWORTH W900,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/w900-2015/ee-listing-42103613
"504,575 mi",Doggett Freightliner,"North Little Rock, AR","$44,900",2016 International ProStar,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2016/ee-listing-42135129
"552,961 mi",WE Sales,"Fargo, ND","$69,900",2018 KENWORTH T-680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42171999
"464,302 mi",Bruckner Truck Sales,"Fort Worth, TX","$110,950",2020 VOLVO VNL64T760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl760-2020/ee-listing-42164826
"605,932 mi",Arrow Truck Sales,"Cincinnati, OH","$52,950",2015 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2015/ee-listing-42164602
"115,132 mi",Doggett Freightliner,"El Paso, TX","$205,000",2022 Freightliner Cascadia 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2022/ee-listing-42115648
"486,220 mi",Bruckner Truck Sales,"Oklahoma City, OK","$139,900",2018 Peterbilt 389,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/389-2018/ee-listing-42158707
"549,946 mi",Arrow Truck Sales,"Maple Shade, NJ","$84,950",2018 VOLVO VNL780,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl780-2018/ee-listing-42073907
"470,441 mi",Schneider,"Edwardsville, IL","$66,000",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184204
null,Kenworth of Louisiana,"Gray, LA","$95,690",2020 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2020/ee-listing-42158818
"397,323 mi",Diamond Truck Sales Inc,"Fort Worth, TX","$64,900",2019 INTERNATIONAL LT,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2019/ee-listing-42170505
"362,660 mi",Western Truck Center of West Sacramento,"West Sacramento, CA","$79,950",2019 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42145073
"478,907 mi",Brookside Equipment Sales Inc,"Phillipston, MA","$24,500",2000 MACK RD688S,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/rd688s-2000/ee-listing-42170443
